                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0327,                 5.6799,                 4.2356,                      0,                      0,                      0,                      0,                 2.6117,                 5.9758,                 4.1561,              6.603e-05,              6.603e-05,              6.603e-05
                      2,                 2.6112,                   6.01,                  4.226,                      0,                      0,                      0,                      0,                 2.6197,                 5.9847,                 4.1352,             0.00012211,             0.00012211,             0.00012211
                      3,                 2.5914,                 5.9407,                 4.1659,                      0,                      0,                      0,                      0,                 2.5934,                 5.9499,                 4.0693,             0.00016593,             0.00016593,             0.00016593
                      4,                 2.5642,                 5.8617,                 4.1041,                0.00017,                0.13724,                0.00095,                0.00034,                 2.5794,                 6.0277,                 3.9683,             0.00015549,             0.00015549,             0.00015549
                      5,                  2.464,                 5.7472,                 3.9539,                0.00958,                0.27808,                0.00737,                0.00141,                 2.4536,                 7.0067,                 3.9634,             0.00013632,             0.00013632,             0.00013632
                      6,                 2.4364,                   5.51,                 3.8102,                0.00536,                0.44662,                0.00803,                0.00297,                 2.3542,                 21.367,                 3.8761,             0.00011715,             0.00011715,             0.00011715
                      7,                 2.3382,                  5.336,                 3.6742,                0.69257,                0.07383,                0.03788,                0.01778,                 2.1848,                 5.6456,                 3.5537,              9.798e-05,              9.798e-05,              9.798e-05
                      8,                 2.2493,                 5.1084,                 3.5866,                0.01072,                0.68544,                 0.0832,                0.03976,                 2.1024,                 5.0165,                 3.4789,              7.881e-05,              7.881e-05,              7.881e-05
                      9,                 2.1263,                 4.9472,                 3.4952,                0.65077,                0.06382,                0.07634,                0.04085,                 1.9892,                 4.7057,                 3.4204,              5.964e-05,              5.964e-05,              5.964e-05
                     10,                 2.1471,                 4.7079,                 3.4293,                0.50209,                0.12819,                0.11834,                0.06264,                 1.9284,                 4.5046,                  3.345,              4.047e-05,              4.047e-05,              4.047e-05
                     11,                 2.0441,                 4.6029,                 3.3911,                0.38258,                0.14129,                0.13671,                0.07125,                 1.9061,                 4.4244,                 3.3093,               2.13e-05,               2.13e-05,               2.13e-05
